customer_id,country_of_residence,country_of_birth,trasnaction_amount,transaction_country,transaction_category,transaction_country_category,transaction_origin_currency,transaction_date,transaction_type,transaction_business,average_monthly_transaction,alert_flag
101,Iran,India,18485,Iran,Interbank,ExternalSanctioned,Rial,2023-06-21,Digital,Education,40000,N
102,India,Germany,28056,India,Intrabank,ExternalNonSanctioned,INR,2023-06-23,Digital,Automobile,10000,Y
103,UK,Germany,49262,UK,Intrabank,ExternalSanctioned,GBP,2023-06-22,Digital,RealEstate,10000,Y
104,UK,Iran,6127,UK,Intrabank,ExternalNonSanctioned,GBP,2023-06-08,Digital,Travel,10000,Y
105,USA,India,32027,USA,Interbank,inCountry,USD,2023-06-25,Cash,FMCG,20000,Y
106,UK,Iran,42293,UK,Intrabank,ExternalSanctioned,GBP,2023-06-13,Digital,Education,40000,N
107,Germany,Iran,25868,Germany,Intrabank,ExternalSanctioned,EUR,2023-06-25,Digital,Travel,5000,Y
108,UK,Germany,38357,UK,Intrabank,ExternalSanctioned,GBP,2023-06-03,Digital,RealEstate,10000,Y
109,USA,Iran,29124,USA,Intrabank,ExternalSanctioned,USD,2023-06-24,Digital,Education,10000,Y
110,Iran,Germany,47121,Iran,Interbank,ExternalNonSanctioned,Rial,2023-06-10,Digital,Education,30000,Y
111,USA,Germany,8215,USA,Intrabank,ExternalSanctioned,USD,2023-06-26,Digital,RealEstate,30000,N
112,Iran,Germany,24575,Iran,Intrabank,inCountry,Rial,2023-06-16,Cash,RealEstate,10000,Y
113,Iran,Iran,29341,Iran,Interbank,ExternalSanctioned,Rial,2023-06-11,Digital,Education,10000,Y
114,India,India,37970,India,Intrabank,ExternalSanctioned,INR,2023-06-26,Digital,RealEstate,40000,N
116,India,Iran,22104,India,Interbank,inCountry,INR,2023-06-23,Cash,Automobile,20000,N
117,India,Iran,25051,India,Intrabank,ExternalNonSanctioned,INR,2023-06-19,Digital,Education,30000,Y
118,India,Iran,13584,India,Interbank,ExternalNonSanctioned,INR,2023-06-04,Digital,Travel,20000,Y
119,USA,Iran,25080,USA,Interbank,ExternalNonSanctioned,USD,2023-06-14,Digital,RealEstate,40000,Y
120,USA,Germany,31816,USA,Interbank,ExternalSanctioned,USD,2023-06-22,Digital,Automobile,40000,N
